dataset,alpha,negll,delta_hat
fremtpl,0.6,111766.90250008127,1.0
fremtpl,0.8545454545454545,111741.5672436922,1.0
fremtpl,1.109090909090909,112521.02545222086,1.0
fremtpl,1.3636363636363635,113746.41069862047,1.0
fremtpl,1.6181818181818182,115253.8287493443,1.0
fremtpl,1.8727272727272726,116955.24336721712,1.0
fremtpl,2.127272727272727,118798.08132274883,1.0
fremtpl,2.381818181818182,120748.50300864164,1.0
fremtpl,2.6363636363636362,122783.47376789282,1.0
fremtpl,2.8909090909090907,124886.61889374143,1.0
fremtpl,3.145454545454545,127045.88810954509,1.0
fremtpl,3.4,129252.15931990344,1.0
