model,dataset,rmse,rmse_se,mae,mae_se,corr,corr_se,alpha_hat,rmse_best,rmse_secondary,mae_best,mae_secondary,corr_best,corr_secondary
boosting_plain_no_group,airbnb_nyc,75.58122200433156,3.2519836553816974,44.95515826703547,1.1852037662611103,0.646932374409173,,,False,True,False,False,False,False
boosting_plain_with_group,airbnb_nyc,78.70351275749243,3.055093130823041,46.14663138152872,1.2625206050420685,0.6072079781075322,,,False,True,False,False,False,False
gamma_normal_gpboost,airbnb_nyc,92.48970889832277,3.5760364753524314,55.061826589878656,2.105835338628612,0.3896407354713352,,2.949098537265933,False,False,False,False,False,False
gamma_normal_gpboost_boosted,airbnb_nyc,73.31556214886476,3.13913493159042,41.473600265139396,1.2352983716187618,0.6712290297024923,,6.248949888728824,True,False,True,False,True,False
gg_gpboost,airbnb_nyc,93.47142622339989,2.7901210462054524,59.19980591766981,1.4261162153401445,0.38550924852247487,,2.066313024182868,False,False,False,False,False,False
gg_gpboost_boosted,airbnb_nyc,136.68309277227607,3.0460766207061503,117.85377452597345,3.108717999418657,0.6190007129592322,,1.0000002218348691,False,False,False,False,False,False
boosting_plain_no_group,us_fundamentals_assets,19254009650.425194,5366101155.163634,2420037942.61463,1195910815.7179222,0.9694670593146624,,,False,False,False,True,False,False
boosting_plain_with_group,us_fundamentals_assets,18850043196.802063,5377614307.704303,2419246691.135203,1162804744.6168835,0.9706719342136203,,,False,False,False,True,False,False
gamma_normal_gpboost,us_fundamentals_assets,76482756919.81439,13310885879.586016,8453157490.549616,468203662.71573174,0.9908273236144249,,0.09023607665242896,False,False,False,False,False,False
gamma_normal_gpboost_boosted,us_fundamentals_assets,15152344704.836658,19025754757.40625,1044208976.460809,1007198475.5800759,0.9803906701572817,,3.738868124744803,False,True,False,True,False,False
gg_gpboost,us_fundamentals_assets,4524872355.807891,1992578710.9682302,781507107.1234355,1355161866.990562,0.9982704905629741,,2.070529847682755,True,False,True,False,True,False
gg_gpboost_boosted,us_fundamentals_assets,7554703604.598298,1862675376.375005,890074532.243581,1269755354.451044,0.9951618964797208,,1.0000017279723534,False,True,False,True,False,False
boosting_plain_no_group,us_fundamentals_assets_balanced4_8,41921338501.97832,5867875670.74408,3429184580.8115325,348861661.1439747,0.8872597869127916,,,False,False,False,False,False,False
boosting_plain_with_group,us_fundamentals_assets_balanced4_8,41663054419.68903,5894848403.669548,3424416613.596115,367014014.26732206,0.8889397218119709,,,False,False,False,False,False,False
gamma_normal_gpboost,us_fundamentals_assets_balanced4_8,89397282417.70258,17065493821.462896,11390934891.1169,1435606944.2192886,0.9965814790598047,,0.10919405550381198,False,False,False,False,False,False
gamma_normal_gpboost_boosted,us_fundamentals_assets_balanced4_8,12806009577.130896,19570053152.11222,1241788410.6066017,443259877.5648131,0.9923585153714055,,4.604292218214959,False,True,False,True,False,False
gg_gpboost,us_fundamentals_assets_balanced4_8,6520434370.803041,324153662.52406657,1084601295.9338214,562477946.4970547,0.9976363314978103,,2.070529847682755,True,False,True,False,True,False
gg_gpboost_boosted,us_fundamentals_assets_balanced4_8,10409352674.52284,410294655.85847014,1240364035.1544545,527296941.6424294,0.9932796100158735,,1.0000017360043563,False,False,False,True,False,False
boosting_plain_no_group,zillow,83629.00406350502,258.50247439062474,51247.90698993926,125.22402956561166,0.7825686620841071,,,False,False,False,False,False,False
boosting_plain_with_group,zillow,32754.222487043568,88.94214040334877,26209.515850783035,82.23921909742718,0.9765992371066209,,,False,False,False,False,False,False
gamma_normal_gpboost,zillow,33599.60147076794,227.55897240557297,22578.505390503407,124.72210857444335,0.9925222371128696,,4.428152312093444,False,False,False,False,False,False
gamma_normal_gpboost_boosted,zillow,12466.906979627227,44.513004642999896,6485.441072890322,20.256235511602807,0.9962339756336122,,629.7076870400574,True,False,True,False,True,False
gg_gpboost,zillow,17335.04557812121,108.91716470487121,8951.034350018934,31.25128926024078,0.9926202325236563,,2.070529847682755,False,False,False,False,False,False
gg_gpboost_boosted,zillow,14418.728928785673,48.28324298063026,7604.308709963199,20.508837254959964,0.9948868006984668,,1.0000008672834853,False,False,False,False,False,False
