dataset,alpha,negll,delta_hat
sandp500,0.6,615344.6827687965,1.0
sandp500,0.8545454545454545,592165.1126848831,1.0
sandp500,1.109090909090909,575980.0353665126,1.0
sandp500,1.3636363636363635,563671.0833574649,1.0
sandp500,1.6181818181818182,553813.9030431594,1.0
sandp500,1.8727272727272726,545643.315661808,1.0
sandp500,2.127272727272727,538702.3336274608,1.0
sandp500,2.381818181818182,532696.7881106343,1.0
sandp500,2.6363636363636362,527426.4258818635,1.0
sandp500,2.8909090909090907,522748.8850565798,1.0
sandp500,3.145454545454545,518559.39575663395,1.0
sandp500,3.4,514778.6438304641,1.0
