dataset,alpha,negll,delta_hat
us_fundamentals_assets,0.6,486716.24168907246,1.0
us_fundamentals_assets,0.8545454545454545,482227.2795859188,1.0
us_fundamentals_assets,1.109090909090909,479082.2827051268,1.0
us_fundamentals_assets,1.3636363636363635,476699.16135000164,1.0
us_fundamentals_assets,1.6181818181818182,474805.82927027583,1.0
us_fundamentals_assets,1.8727272727272726,473253.557711259,1.0
us_fundamentals_assets,2.127272727272727,471952.30501441826,1.0
us_fundamentals_assets,2.381818181818182,470843.47214327153,1.0
us_fundamentals_assets,2.6363636363636362,469886.80761857104,1.0
us_fundamentals_assets,2.8909090909090907,469053.4801606706,1.0
us_fundamentals_assets,3.145454545454545,468322.1358374331,1.0
us_fundamentals_assets,3.4,467676.5202582145,1.0
